attemptId,contentId,contentType,date,datetime,duration,interactions,isDeleted,isLive,origin,scope,sessionId,status,userId
8uzv3,631713ead77eec3905ae77b5,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:07.5060,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77b8,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:10.6359,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311e958d77eec3905ae76d1,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:11.3159,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ead77eec3905ae77ac,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:13.3770,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,63171841d77eec3905ae77ed,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:14.1219,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77b9,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:15.6219,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311e946d77eec3905ae76ce,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:17.8629,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ead77eec3905ae77bc,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:18.6140,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
uay2o,6311eac7d77eec3905ae76d6,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:18.8929,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,67f7e0b47b38949e5d844d3bfaf7ceff9f53e3d6a4548b3aacab81a7075cbd56,completed,a931ee378af64d2c6b99181d2ff408c9747472db83949f9b693f02bbc4b6ec7f
8uzv3,631713ead77eec3905ae77ad,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:22.0580,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631718c4d77eec3905ae77f2,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:22.8159,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77bd,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:23.4289,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77c0,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:24.8199,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631713ead77eec3905ae77ae,block,2023-01-20T00:00:00.0000,2023-01-20T15:01:27.2179,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
8uzv3,631719c8d77eec3905ae77f7,component,2023-01-20T00:00:00.0000,2023-01-20T15:01:27.9509,0,0,false,false,https://content.kineo.com,sj_family_products_dangerous_goods,f786cd5ea2c65ee6971630bbff49e3a8ee5a34447d65ec77b655bf21d51793cf,completed,dced06dad0d3fd46f5b4f2fe573f54817587f99348a906537b3f5ba5bb4364a0
