_component,_id,_parentId,_selectable,attemptId,body,date,datetime,displayTitle,group,instruction,isCorrect,isIncorrect,isPartlyCorrect,scope,selected,selectedCorrect,selectedIncorrect,selectedPartlyCorrect,sessionId,title,titleId,userId
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,k8lbj,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-20T00:00:00.0000,2023-01-20T19:08:30.6659,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,acc3284fb8f310cdb3052d0cd34804564dd441ef724718b792d09aa3f8abae15,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),5db32a01142bc6eb74afa89ee276b232204f0184c8293216a5cf9ae6adf48649
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,2xjiw,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-20T00:00:00.0000,2023-01-20T19:13:59.4879,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,caa8208eff77369688b2e605a5ea6b99dcd29ed892c46dae4998fc927db0a44d,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),fc091848419422e3601329bb0761be5fcaf1bf9226b95180f081a12532e3917c
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,52nzy,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-20T00:00:00.0000,2023-01-20T19:42:49.1730,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,3fbc554c78846b790c6a0fb9f9615e48ce72040299697e734b0617830e116552,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),d25e07827f3feda516cbc7b1b36d34a4061f357395576fc85b1526076bcd18fb
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,mpzl3,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-20T00:00:00.0000,2023-01-20T20:35:46.5069,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,57e2d0b16422ef9aea031e49b55e8c9b834bf7227314eb4cab0b1c73c929f1a4,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),622e96f94a327fd5e6bbc6923009ca2ca503ccec99cfc0b4ffceb693a38fc1c7
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,96cty,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-20T00:00:00.0000,2023-01-20T22:56:13.5699,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,da4883089cea0e84d96419807b21f7e448439d7c67bedc7398b1fef165570116,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),f5eddffd967c81cbc6e01de08d5d00c68e7b5ff0339b349e83c8edb6611c11f5
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,cnnsn,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-22T00:00:00.0000,2023-01-22T11:52:15.6600,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,47a11a44979fec267a5396fb35d81efdc71db5f9e516c55858be3cf22be28198,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),44f5d77885ab980175e00b94ed50c2a9400a50fada23c4662d7361b6760123f3
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,b7hsu,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T08:56:09.5160,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,e23b1874b6756881919502402d87b32638c16efcbf46c004ed64ff36c2427424,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),340ccf5ab3bb1e46cdc627deafcf12897df606a4b5567e18e63bcdb3307d0aec
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,0logb,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T10:36:23.8139,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,e2c0652633a310ce1025eba93262325b063df18111b390c8fcf60d548c723bbe,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),9b1ca96bbae1fe4cba8bb33ff1149226abef4ce80cf38370abd9bb264e0782a6
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,woas8,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T11:15:15.4869,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,e35addc5ae3d0df21b1280199e6f6c2474a357ace00facf5627a4955ef879490,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),cd2049a431a517096f822c58ce0c4105ecb2c3f41e3581a1c96059a708a4a894
confidenceSlider,63172428d77eec3905ae7857,63172428d77eec3905ae7856,1,cquwn,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",2023-01-23T00:00:00.0000,2023-01-23T13:13:36.5520,I am more confident in my ability to properly ship dangerous goods,feedback,,TRUE,FALSE,FALSE,sj_family_products_dangerous_goods,1,1,0,0,09a08e0528908b92870217414569a27e01fc1906408553394487d030ff0114df,I am more confident in my ability to properly ship dangerous goods,I am more confident in my ability to properly ship dangerous goods (63172428d77eec3905ae7857),00bcf71488e7d82c0496c0e34c554a81b0991b04a5faf524c242847f5b1d8970
