"Audience Name","Audience ID","User ID",Status
"All Staff",7,1239,Active
"All Staff",7,1240,Active
"All Staff",7,1241,Active
"All Staff",7,1242,Active
"All Staff",7,1243,Active
"All Staff",7,1244,Active
"All Staff",7,1245,Active
"All Staff",7,1246,Active
"All Staff",7,1247,Active
"All Staff",7,1248,Active
"All Staff",7,1249,Active
"All Staff",7,1250,Active
"All Staff",7,1251,Active
"All Staff",7,1252,Active
"All Staff",7,1253,Active
"All Staff",7,1254,Active
"All Staff",7,1255,Active
"All Staff",7,1256,Active
"All Staff",7,1257,Active
"All Staff",7,1258,Active
"All Staff",7,1259,Active
"All Staff",7,1260,Active
"All Staff",7,1261,Active
"All Staff",7,1262,Active
"All Staff",7,1263,Active
"All Staff",7,1264,Active
"All Staff",7,1265,Active
"All Staff",7,1266,Active
"All Staff",7,1267,Active
"All Staff",7,1268,Active
"All Staff",7,1269,Active
"All Staff",7,1270,Active
"All Staff",7,1271,Active
"All Staff",7,1272,Active
"All Staff",7,1273,Active
"All Staff",7,1274,Active
"All Staff",7,1275,Active
"All Staff",7,1276,Active
"All Staff",7,1277,Active
"All Staff",7,1278,Active
"All Staff",7,1279,Active
"All Staff",7,1280,Active
"All Staff",7,1281,Active
"All Staff",7,1282,Active
"All Staff",7,1283,Active
"All Staff",7,1284,Active
"All Staff",7,1285,Active
"All Staff",7,1286,Active
"All Staff",7,1287,Active
"All Staff",7,1288,Active
"All Staff",7,1289,Active
"All Staff",7,1290,Active
"All Staff",7,1291,Active
"All Staff",7,1292,Active
"All Staff",7,1293,Active
"All Staff",7,1294,Active
"All Staff",7,1295,Active
"All Staff",7,1296,Active
"All Staff",7,1297,Active
"All Staff",7,1298,Active
"All Staff",7,1299,Active
"All Staff",7,1300,Active
"All Staff",7,1301,Active
"All Staff",7,1302,Active
"All Staff",7,1303,Active
"All Staff",7,1304,Active
"All Staff",7,1305,Active
"All Staff",7,1306,Active
"All Staff",7,1307,Active
"All Staff",7,1308,Active
"All Staff",7,1309,Active
"All Staff",7,1310,Active
"All Staff",7,1311,Active
"All Staff",7,1312,Active
"All Staff",7,1313,Active
"All Staff",7,1314,Active
"All Staff",7,1315,Active
"All Staff",7,1316,Active
"All Staff",7,1317,Active
"All Staff",7,1318,Active
"All Staff",7,1319,Active
"All Staff",7,1320,Active
"All Staff",7,1321,Active
"All Staff",7,1322,Active
"All Staff",7,1323,Active
"All Staff",7,1324,Active
"All Staff",7,1325,Active
"All Staff",7,1326,Active
"All Staff",7,1327,Active
"All Staff",7,1328,Active
"All Staff",7,1329,Active
"All Staff",7,1330,Active
"All Staff",7,1331,Active
"All Staff",7,1332,Active
"All Staff",7,1333,Active
"All Staff",7,1334,Active
"All Staff",7,1335,Active
"All Staff",7,1336,Active
"All Staff",7,1337,Active
"All Staff",7,1338,Active
"All Staff",7,1339,Active
"All Staff",7,1340,Active
"All Staff",7,1341,Active
"All Staff",7,1342,Active
"All Staff",7,1343,Active
"All Staff",7,1344,Active
"All Staff",7,1345,Active
"All Staff",7,1346,Active
"All Staff",7,1347,Active
"All Staff",7,1348,Active
"All Staff",7,1349,Active
"All Staff",7,1350,Active
"All Staff",7,1351,Active
"All Staff",7,1352,Active
"All Staff",7,1353,Active
"All Staff",7,1354,Active
"All Staff",7,1355,Active
"All Staff",7,1356,Active
"All Staff",7,1357,Active
"All Staff",7,1358,Active
"All Staff",7,1359,Active
"All Staff",7,1360,Active
"All Staff",7,1361,Active
"All Staff",7,1362,Active
"All Staff",7,1363,Active
"All Staff",7,1364,Active
"All Staff",7,1365,Active
"All Staff",7,1366,Active
"All Staff",7,1367,Active
"All Staff",7,1368,Active
"All Staff",7,1369,Active
"All Staff",7,1370,Active
"All Staff",7,1371,Active
"All Staff",7,1372,Active
"All Staff",7,1373,Active
"All Staff",7,1374,Active
"All Staff",7,1375,Active
"All Staff",7,1376,Active
"All Staff",7,1377,Active
"All Staff",7,1378,Active
"All Staff",7,1379,Active
"All Staff",7,1380,Active
"All Staff",7,1381,Active
"All Staff",7,1382,Active
"All Staff",7,1383,Active
"All Staff",7,1384,Active
"All Staff",7,1385,Active
"All Staff",7,1386,Active
"All Staff",7,1387,Active
"All Staff",7,1388,Active
"All Staff",7,1389,Active
"All Staff",7,1390,Active
"All Staff",7,1391,Active
"All Staff",7,1392,Active
"All Staff",7,1393,Active
"All Staff",7,1394,Active
"All Staff",7,1395,Active
"All Staff",7,1396,Active
"All Staff",7,1397,Active
"All Staff",7,1398,Active
"All Staff",7,1399,Active
"All Staff",7,1400,Active
"All Staff",7,1401,Active
"All Staff",7,1402,Active
"All Staff",7,1403,Active
"All Staff",7,1404,Active
"All Staff",7,1405,Active
"All Staff",7,1406,Active
"All Staff",7,1407,Active
"All Staff",7,1408,Active
"All Staff",7,1409,Active
"All Staff",7,1410,Active
"All Staff",7,1411,Active
"All Staff",7,1412,Active
"All Staff",7,1413,Active
"All Staff",7,1414,Active
"All Staff",7,1415,Active
"All Staff",7,1416,Active
"All Staff",7,1417,Active
"All Staff",7,1418,Active
"All Staff",7,1419,Active
"All Staff",7,1420,Active
"All Staff",7,1421,Active
"All Staff",7,1422,Active
"All Staff",7,1423,Active
"All Staff",7,1424,Active
"All Staff",7,1425,Active
"All Staff",7,1426,Active
"All Staff",7,1427,Active
"All Staff",7,1428,Active
"All Staff",7,1429,Active
"All Staff",7,1430,Active
"All Staff",7,1431,Active
"All Staff",7,1432,Active
"All Staff",7,1433,Active
"All Staff",7,1434,Active
"All Staff",7,1435,Active
"All Staff",7,1436,Active
"All Staff",7,1437,Active
"All Staff",7,1438,Active
"All Staff",7,1439,Active
"All Staff",7,1440,Active
"All Staff",7,1441,Active
"All Staff",7,1442,Active
"All Staff",7,1443,Active
"All Staff",7,1444,Active
"All Staff",7,1445,Active
"All Staff",7,1446,Active
"All Staff",7,1447,Active
"All Staff",7,1448,Active
"All Staff",7,1449,Active
"All Staff",7,1450,Active
"All Staff",7,1451,Active
"All Staff",7,1452,Active
"All Staff",7,1453,Active
"All Staff",7,1454,Active
"All Staff",7,1455,Active
"All Staff",7,1456,Active
"All Staff",7,1457,Active
"All Staff",7,1458,Active
"All Staff",7,1459,Active
"All Staff",7,1460,Active
"All Staff",7,1461,Active
"All Staff",7,1462,Active
"All Staff",7,1463,Active
"All Staff",7,1464,Active
"All Staff",7,1465,Active
"All Staff",7,1466,Active
"All Staff",7,1467,Active
"All Staff",7,1468,Active
"All Staff",7,1469,Active
"All Staff",7,1470,Active
"All Staff",7,1471,Active
"All Staff",7,1472,Active
"All Staff",7,1473,Active
"All Staff",7,1474,Active
"All Staff",7,1475,Active
"All Staff",7,1476,Active
"All Staff",7,1477,Active
"All Staff",7,1478,Active
"All Staff",7,1479,Active
"All Staff",7,1480,Active
"All Staff",7,1481,Active
"All Staff",7,1482,Active
"All Staff",7,1483,Active
"All Staff",7,1484,Active
"All Staff",7,1485,Active
"All Staff",7,1486,Active
"All Staff",7,1487,Active
"All Staff",7,1488,Active
"All Staff",7,1489,Active
"All Staff",7,1490,Active
"All Staff",7,1491,Active
"All Staff",7,1492,Active
"All Staff",7,1493,Active
"All Staff",7,1494,Active
"All Staff",7,1495,Active
"All Staff",7,1496,Active
"All Staff",7,1497,Active
"All Staff",7,1498,Active
"All Staff",7,1499,Active
"All Staff",7,1500,Active
"All Staff",7,1501,Active
"All Staff",7,1502,Active
"All Staff",7,1503,Active
"All Staff",7,1504,Active
"All Staff",7,1505,Active
"All Staff",7,1506,Active
"All Staff",7,1507,Active
"All Staff",7,1508,Active
"All Staff",7,1509,Active
"All Staff",7,1510,Active
"All Staff",7,1511,Active
"All Staff",7,1512,Active
"All Staff",7,1513,Active
"All Staff",7,1514,Active
"All Staff",7,1515,Active
"All Staff",7,1516,Active
"All Staff",7,1517,Active
"All Staff",7,1518,Active
"All Staff",7,1519,Active
"All Staff",7,1520,Active
"All Staff",7,1521,Active
"All Staff",7,1522,Active
"All Staff",7,1523,Active
"All Staff",7,1524,Active
"All Staff",7,1525,Active
"All Staff",7,1526,Active
"All Staff",7,1527,Active
"All Staff",7,1528,Active
"All Staff",7,1529,Active
"All Staff",7,1530,Active
"All Staff",7,1531,Active
"All Staff",7,1532,Active
