"User ID","Course ID","Seminar Name","Event ID","Session ID","Session attendance","Session Start Date/Time","Session Finish Date/Time","Session Duration"
3037,62,"Workshop - Leaders Event",71,116,"Partially attended","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3037,62,"Workshop - Leaders Event",71,117,"Partially attended","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3037,62,"Workshop - Leaders Event",71,115,"Unable to attend","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3037,62,"Workshop - Leaders Event",71,116,"Unable to attend","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,116,"No show","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,115,"Fully attended","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,116,"Fully attended","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,117,"Fully attended","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,115,"Fully attended","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,116,"Fully attended","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,117,"Fully attended","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,115,"No show","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3886,62,"Workshop - Leaders Event",71,117,"No show","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,117,"No show","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,115,"No show","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,117,"No show","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,116,"No show","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,115,"No show","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,117,"Fully attended","11/06/2024, 09:00:00","11/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,116,"Fully attended","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,115,"Fully attended","09/06/2024, 09:00:00","09/06/2024, 10:00:00",60
3993,62,"Workshop - Leaders Event",71,116,"No show","10/06/2024, 09:00:00","10/06/2024, 10:00:00",60
